freq,dbfs,dbspl,rms,min_amp,max_amp,tag
4562.07,-27,99.44,0.0149,-0.0426,0.0315,
2993.73,-27,98.9,0.014,-0.0412,0.0464,
4009.09,-33,96.32,0.0104,-0.0221,0.023,
3125.2,-30,95.8,0.0098,-0.0228,0.0305,
3964.04,-36,94.04,0.008,-0.0155,0.0143,
3569.45,-30,95.35,0.0093,-0.0248,0.0324,
2027.59,-37,91.1,0.0057,-0.0134,0.0145,
3569.45,-34,93.48,0.0075,-0.0208,0.0174,
4009.09,-37,91.97,0.0063,-0.0126,0.0136,
3799.74,-33,91.69,0.0061,-0.0153,0.0221,
3041.38,-40,88.85,0.0044,-0.0105,0.01,
3224.02,-36,89.96,0.005,-0.0168,0.0115,
2756.25,-43,88.02,0.004,-0.0071,0.007,
3150.0,-39,88.44,0.0042,-0.0113,0.0103,
4605.74,-37,90.3,0.0052,-0.0128,0.0138,
3548.28,-38,91.25,0.0058,-0.0119,0.0125,
4030.03,-29,93.48,0.0075,-0.036,0.0326,
4562.07,-28,101.18,0.0182,-0.0411,0.0346,
4490.6,-23,102.79,0.0219,-0.068,0.0669,
5011.36,-26,102.34,0.0208,-0.0438,0.0516,
4720.89,-21,104.14,0.0256,-0.0632,0.0913,
3392.31,-23,102.98,0.0224,-0.0703,0.044,
2004.55,-27,102.83,0.022,-0.0382,0.0454,
4375.46,-23,103.33,0.0233,-0.0731,0.0683,
3006.82,-25,102.26,0.0206,-0.0569,0.0346,
4605.74,-26,101.18,0.0182,-0.0439,0.0501,
4562.07,-28,99.67,0.0153,-0.0278,0.0392,
4145.17,-28,98.12,0.0128,-0.0376,0.0405,
4562.07,-31,96.07,0.0101,-0.0284,0.0218,
3454.31,-27,98.26,0.013,-0.0436,0.0424,
3507.95,-31,96.49,0.0106,-0.0292,0.0216,
4009.09,-32,97.71,0.0122,-0.0241,0.0196,
4375.46,-31,95.44,0.0094,-0.0253,0.0283,
3481.58,-33,95.89,0.0099,-0.0228,0.0216,
3454.31,-32,94.57,0.0085,-0.0238,0.02,
3006.82,-34,91.25,0.0058,-0.012,0.019,
3799.74,-33,92.37,0.0066,-0.022,0.0197,
4055.17,-37,91.4,0.0059,-0.0127,0.0141,
3454.31,-38,89.78,0.0049,-0.0124,0.0125,
506.9,-38,89.04,0.0045,-0.0093,0.0122,
2940.0,-40,88.85,0.0044,-0.0103,0.0081,
4605.74,-36,89.42,0.0047,-0.0153,0.0129,
5127.91,-37,91.1,0.0057,-0.0088,0.0148,
2993.73,-39,87.34,0.0037,-0.0103,0.0106,
4562.07,-41,88.24,0.0041,-0.0091,0.0085,
4375.46,-41,86.35,0.0033,-0.0079,0.0094,
5011.36,-42,85.23,0.0029,-0.0068,0.0077,
4375.46,-40,85.52,0.003,-0.0087,0.0096,
4951.17,-33,91.1,0.0057,-0.0222,0.0179,
4900.0,-38,94.46,0.0084,-0.0088,0.0122,
4375.46,-33,93.36,0.0074,-0.0213,0.0206,
5011.36,-32,95.62,0.0096,-0.0209,0.0241,
